Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Павлик,Василина,Тарасівна,female,1939-04-02,Аналітик даних,хутір Буськ,"парк Кривобалківська, буд. 9 кв. 18, Соснівка , 61976",+380 47 464-69-44,tychynaiosyp@example.com
Ющенко,Давид,Назарович,male,1973-12-20,Менеджер з продукту,місто Хрестівка,"набережна Шухевича Романа, буд. 073, Старокостянтинів, 78290",+380 54 428-30-20,myroslavivashchenko@example.org
Лесик,Богуслав,Давидович,male,1985-12-01,Аудитор,село Заводське,"провулок Західний 1-й, буд. 284 кв. 7, Золочів, 05248",016 939-35-53,vasyltykhyi@example.net
Яременко,Маруся,Захарівна,female,1939-01-18,Архітектор,хутір Олександрівськ,"вулиця Лавкова, буд. 272, Мирноград, 84512",091 021-80-30,sviatoslav72@example.org
Штокало,Феофан,Васильович,male,1945-02-01,PR-менеджер,хутір Броди,"сквер Нафтовиків 2-й, буд. 7, Довжанськ, 07152",659-67-02,oles47@example.com
Лагода,Орися,Борисівна,female,1982-08-13,HR-менеджер,місто Дубно,"проспект Гвоздичний, буд. 128, Хмельницький, 09192",061 701-31-86,virabarannyk@example.org
Овсієнко,Семен,Романович,male,1939-10-17,Аналітик даних,селище Корець,"узвіз Дніпровська, буд. 78, Добромиль, 03574",745 10 56,caleksiichuk@example.net
Скопенко,Вадим,Борисович,male,1995-04-29,HR-менеджер,хутір Заставна,"площа Космонавтів, буд. 83 кв. 797, Нова Одеса, 99528",048 590 60 52,illiatytarenko@example.net
Макогон,Остап,Павлович,male,1974-02-10,Менеджер з продажу,село Щолкіне,"узвіз Банний, буд. 62, Новоград-Волинський, 35983",+380 05 638 99 83,artem38@example.com
Ярош,Ліза,Павлівна,female,1976-04-18,Бухгалтер,село Антрацит ,"узвіз Мостовий, буд. 095, Знам'янка, 31042",+380 (48) 930-40-48,valentynadrobakha@example.net
Атаманчук,Еріка,Мар'янівна,female,1973-09-30,Програміст,місто Ямпіль,"узвіз Данила Крижанівського, буд. 717 кв. 3, Довжанськ, 60318",074 489-97-95,shutkodanna@example.net
Захаренко,Венедикт,Сергійович,male,1969-03-12,PR-менеджер,селище Івано-Франківськ,"площа Олександра Стурдзи, буд. 483 кв. 265, Славутич, 97516",074 650-90-39,lvlokh@example.com
Скоробогатько,Гаврило,Максимович,male,1958-01-19,HR-менеджер,село Привілля,"набережна Гаршина, буд. 333, Сміла, 13774",076 735 00 39,danylo49@example.net
Алексюк,Станіслав,Назарович,male,1996-09-26,Асистент керівника,селище Нове Давидково,"провулок Павлова, буд. 05 кв. 19, Федорівка, 87749",+380 66 805-80-10,wzaiets@example.org
Джус,Борислав,Захарович,male,1989-10-14,Дизайнер,місто Золочів,"площа Десята, буд. 34, Південне , 71516",887 07 49,zlatoslavakadeniuk@example.net
Гаврилець,Юхим,Денисович,male,1998-08-13,Архітектор,хутір Соснівка ,"узвіз Мала Садова, буд. 230 кв. 3, Заводське, 78175",+380 62 586-87-18,iosyprudyk@example.com
Їжак,Артем,Мар'янович,male,2008-05-07,Копірайтер,місто Чистякове,"набережна Дачний 2-й, буд. 29 кв. 249, Герца, 50865",282 52 32,okhrim40@example.com
Іваничук,Ігор,Федорович,male,1959-11-15,Інженер з якості,хутір Яготин,"проспект Мала Садова, буд. 4, Полтава, 28645",099 858-33-59,les22@example.org
Макаренко,Вадим,Геннадійович,male,2007-04-16,Офіс-менеджер,село Рогатин,"шосе Чорноморський 4-й, буд. 128, Погребище, 19127",+380 81 735 16 12,oleshres@example.com
Штепа,Лілія,Павлівна,female,1995-06-11,HR-менеджер,село Бібрка,"провулок Совіньйонівський, буд. 59 кв. 6, Куп'янськ, 91195",+380 89 742-83-51,albinadavydenko@example.com
Шеремет,Надія,Станіславівна,female,1961-02-05,Дизайнер,хутір Запоріжжя,"парк Водний, буд. 60 кв. 54, Дубно, 19932",311-35-19,pavlokopytko@example.org
Конопля,Альбіна,Давидівна,female,1969-05-27,Аудитор,місто Звенигородка,"вулиця Севастопольський, буд. 235 кв. 124, Мостиська, 72173",207 90 61,milena09@example.org
Макаренко,Яків,Андрійович,male,1939-09-26,Дизайнер,хутір Глухів,"шосе Естафетна, буд. 25 кв. 0, Шостка, 62416",+380 77 044 25 76,ustym48@example.com
Свириденко,Юстина,Сергіївна,female,1945-10-29,Асистент керівника,село Броди,"проспект Платанова, буд. 64 кв. 088, Бориспіль, 71240",763 34 87,panas91@example.net
Гайда,Аніта,Юріївна,female,1976-06-30,Програміст,хутір Вижниця,"провулок Толбухіна, буд. 61 кв. 9, Славута, 76275",+380 31 756-57-91,oliinykoleksa@example.org
Дурдинець,Амвросій,Васильович,male,2007-01-05,Аудитор,селище Городенка,"провулок Крутоярська, буд. 793, Олександрівськ, 83689",+380 30 703 18 64,oliinykandrii@example.com
Дашенко,Костянтин,Ярославович,male,1968-10-22,Аналітик даних,село Алчевськ,"узвіз Нафтовиків 3-й, буд. 39 кв. 67, Шаргород, 20382",+380 (07) 740-05-00,atkach@example.com
Остапчук,Антон,Кирилович,male,1947-03-13,Копірайтер,селище Татарбунари,"набережна Водний, буд. 588 кв. 8, Слов'янськ, 72452",+380 64 096-12-84,hryhorii11@example.com
Авраменко,Оксана,Павлівна,female,1956-03-06,PR-менеджер,село Богуслав,"площа Байдарочний, буд. 6, Першотравенськ, 70121",+380 (35) 074-32-37,orysiasamoilenko@example.org
Притула,Сергій,Михайлович,male,1989-08-15,Системний адміністратор,місто Кропивницький,"провулок 11-та Лінія Марії Демченко, буд. 718, Зміїв, 82093",+380 39 207-98-83,eudovenko@example.com
Дрозденко,Ярина,Борисівна,female,2006-12-12,Фінансовий аналітик,селище Переяслав,"площа Лазурний 1-й, буд. 706 кв. 293, Охтирка, 78939",+380 (21) 164-34-41,arsen51@example.com
Макогон,Сергій,Захарович,male,1999-10-09,Офіс-менеджер,селище Здолбунів,"вулиця Студентський 1-й, буд. 313, Гірське, 43670",+380 16 863-41-97,gzabashta@example.net
Ємельяненко,Світлана,Марківна,female,2006-12-06,Кадровий менеджер,село Рожище,"проспект Лиманчик 2-й Лінія 4-та, буд. 84, Буча, 82013",+380 09 637-81-53,konopliamartyn@example.org
Асаула,Болеслав,Павлович,male,1959-11-17,PR-менеджер,місто Докучаєвськ,"проспект Яблучна, буд. 48 кв. 327, Сквира, 30216",445 49 29,hennadii49@example.net
Фастенко,Арсен,Максимович,male,1988-06-17,Менеджер з маркетингу,хутір Буськ,"проспект Софії Перовської, буд. 09, Молодогвардійськ, 89461",143 26 08,olehhavriushenko@example.com
Яремко,Панас,Олександрович,male,1961-01-05,Асистент керівника,хутір Горлівка,"сквер Місячна, буд. 60 кв. 78, Острог, 41604",+380 89 024-51-80,volodymyrazaichenko@example.org
Шухевич,Тарас,Петрович,male,1945-06-13,PR-менеджер,селище Лисичанськ,"вулиця Амбулаторний 1-й, буд. 975 кв. 043, Бобринець, 84201",034 630-15-04,ndashkevych@example.org
